Symbol,Underlying,Security Name, Date of Listing, Market Lot,ISIN Number, Face Value
NIFTYQLITY,"Aditya Birla Sun Life Nifty 200 Quality 30 ETF	",BIRLASLAMC - NIFTYQLITY,19-Aug-22,1,INF209KB15K4,1
ICICIINFRA,"ICICI Prudential Nifty Infrastructure ETF	",ICICIPRAMC - ICICIINFRA,23-Aug-22,1,INF109KC16E5,10
DSPSILVETF,"DSP Silver ETF	",DSPAMC - DSPSILVETF,25-Aug-22,1,INF740KA1RE3,10
MOQUALITY,"Motilal Oswal S&P BSE Quality ETF	",MOTILALAMC - MOQUALITY,26-Aug-22,1,INF247L01BH8,10
MOVALUE,"Motilal Oswal S&P BSE Enhanced Value ETF	",MOTILALAMC - MOVALUE,26-Aug-22,1,INF247L01BE5,10
HDFCSILVER,"HDFC Silver ETF	",HDFCAMC - HDFCSILVER,7-Sep-22,1,INF179KC1DI2,52.52
AXISILVER,"Axis Silver ETF	",AXISAMC - AXISILVER,27-Sep-22,1,INF846K011K1,10
HDFCVALUE,"HDFC NIFTY50 Value 20 ETF	",HDFCAMC - HDFCVALUE,29-Sep-22,1,INF179KC1DK8,86.07
HDFCGROWTH,HDFC NIFTY Growth Sectors 15 ETF,HDFCAMC - HDFCGROWTH,29-Sep-22,1,"INF179KC1DJ0	",89.04
HDFCQUAL,HDFC NIFTY100 Quality 30 ETF,HDFCAMC - HDFCQUAL,29-Sep-22,1,INF179KC1DL6,38.59
HDFCLOWVOL,"HDFC NIFTY100 Low Volatility 30 ETF	",HDFCAMC - HDFCLOWVOL,17-Oct-22,1,INF179KC1DN2,126.18
HDFCMOMENT,"HDFC NIFTY200 Momentum 30 ETF	",HDFCAMC - HDFCMOMENT,17-Oct-22,1,INF179KC1DM4,190.61
HDFCNIFIT,HDFC NIFTY IT ETF,HDFCAMC - HDFCNIFIT,22-Nov-22,1,INF179KC1DX1,299.92
HDFCPVTBAN,HDFC NIFTY Private Bank ETF,HDFCAMC - HDFCPVTBAN,22-Nov-22,1,INF179KC1DW3,216.75
ICICIFIN,ICICI Prudential Nifty Financial Services Ex-Bank ETF,ICICIPRAMC-ICICIFIN,30-Nov-22,1,"INF109KC17L8	",10
"KOTAKSILVE	",Kotak Silver ETF,KOTAKMAMC - KOTAKSILVE,14-Dec-22,1,"INF174KA1KU9	",10
ICICI10GS,ICICI Prudential Nifty 10 yr Benchmark G-Sec ETF,ICICIPRAMC - ICICI10GS,16-Dec-22,1,"INF109KC18O0	",10
