SYMBOL, NAME OF COMPANY, SERIES, FACE VALUE, PAID UP VALUE, MKT LOT, IP RATE, DATE OF LISTING, DATE OF ALLOTMENT, REDEMPTION DATE, REDEMPTION AMT, CONVERSION DATE, CONVERSION AMT, INTEREST PAYMENT DT
576TN24,Tamilnadu State,SG,100,100,100,5.76,27-JUL-2020,,22-APR-2024,,,,,IN3120200040
577GJ25,Gujarat State,SG,100,100,100,5.77,14-JAN-2022,,12-JAN-2025,,,,,IN1520210155
577GJ25A,Gujarat State,SG,100,100,100,5.77,04-FEB-2022,,02-FEB-2025,,,,,IN1520210189
577GS2030,Government of India,GS,100,100,1,5.77,04-AUG-2020,,03-AUG-2030,,,,,IN0020200153
577KL25,Kerala State,SG,100,100,100,5.77,27-JUL-2020,,10-JUN-2025,,,,,IN2020200126
579GS2030,Government of India,GS,100,100,1,5.79,12-MAY-2020,,11-MAY-2030,,,,,IN0020200070
579KL24,Kerala State,SG,100,100,100,5.79,05-OCT-2020,,30-SEP-2024,,,,,IN2020200209
57BR24,Bihar State,SG,100,100,100,5.7,18-SEP-2020,,16-SEP-2024,,,,,IN1320200059
57KA26,Karnataka State,SG,100,100,100,5.7,27-JUL-2020,,15-JUL-2026,,,,,IN1920200079
57MH24,Maharashtra State,SG,100,100,100,5.7,18-SEP-2020,,16-SEP-2024,,,,,IN2220200165
582BR26,Bihar State,SG,100,100,100,5.82,22-JAN-2021,,20-JAN-2026,,,,,IN1320200133
582RJ27,Rajasthan State,SG,100,100,100,5.82,08-JAN-2021,,06-JAN-2027,,,,,IN2920200556
582TS24,Telangana State,SG,100,100,100,5.82,27-JUL-2020,,13-MAY-2024,,,,,IN4520200051
585GS2030,Government of India,GS,100,100,1,5.85,02-DEC-2020,,01-DEC-2030,,,,,IN0020200294
588CG26,Chattisgarh State,SG,100,100,100,5.88,01-JAN-2021,,30-DEC-2026,,,,,IN3520200087
588GJ25,Gujarat State,SG,100,100,100,5.88,05-APR-2021,,31-MAR-2025,,,,,IN1520200321
589AP25,Andhra Pradesh State,SG,100,100,100,5.89,27-JUL-2020,,06-MAY-2025,,,,,IN1020200102
589RJ25,Rajasthan State,SG,100,100,100,5.89,28-AUG-2020,,26-AUG-2025,,,,,IN2920200333
58MH25,Maharashtra State,SG,100,100,100,5.8,04-FEB-2022,,02-FEB-2025,,,,,IN2220210263
58RJ25,Rajasthan State,SG,100,100,100,5.8,27-JUL-2020,,27-MAY-2025,,,,,IN2920200077
591KL25,Kerala State,SG,100,100,100,5.91,27-JUL-2020,,20-MAY-2025,,,,,IN2020200076
593CG26,Chattisgarh State,SG,100,100,100,5.93,11-DEC-2020,,09-DEC-2026,,,,,IN3520200079
593RJ25,Rajasthan State,SG,100,100,100,5.93,15-MAR-2021,,10-MAR-2025,,,,,IN2920200770
594CG25,Chattisgarh State,SG,100,100,100,5.94,09-OCT-2020,,07-OCT-2025,,,,,IN3520200038
594RJ25,Rajasthan State,SG,100,100,100,5.94,13-APR-2021,,09-APR-2025,,,,,IN2920210019
595TN25,Tamilnadu State,SG,100,100,100,5.95,27-JUL-2020,,13-MAY-2025,,,,,IN3120200057
596PY26,Puducherry - Union Territory,SG,100,100,100,5.96,01-OCT-2021,,29-SEP-2026,,,,,IN3820210018
597CG27,Chattisgarh State,SG,100,100,100,5.97,15-JAN-2021,,13-JAN-2027,,,,,IN3520200095
599MP26,Madhya Pradesh State,SG,100,100,100,5.99,03-SEP-2021,,01-SEP-2026,,,,,IN2120210025
59TS25,Telangana State,SG,100,100,100,5.9,27-JUL-2020,,27-MAY-2025,,,,,IN4520200077
601RJ26,Rajasthan State,SG,100,100,100,6.01,08-OCT-2021,,06-OCT-2026,,,,,IN2920210316
603RJ25,Rajasthan State,SG,100,100,100,6.03,27-JUL-2020,,11-MAR-2025,,,,,IN2920190435
604AS25,Assam State,SG,100,100,100,6.04,09-OCT-2020,,07-OCT-2025,,,,,IN1220200076
604AS26,Assam State,SG,100,100,100,6.04,10-DEC-2021,,08-DEC-2026,,,,,IN1220210158
604GJ26,Gujarat State,SG,100,100,100,6.04,22-OCT-2021,,20-OCT-2026,,,,,IN1520210130
604KL25,Kerala State,SG,100,100,100,6.04,28-AUG-2020,,26-AUG-2025,,,,,IN2020200183
605AS25,Assam State,SG,100,100,100,6.05,18-SEP-2020,,16-SEP-2025,,,,,IN1220200043
605RJ26,Rajasthan State,SG,100,100,100,6.05,18-JUN-2021,,16-JUN-2026,,,,,IN2920210142
607RJ26,Rajasthan State,SG,100,100,100,6.07,03-DEC-2021,,01-DEC-2026,,,,,IN2920210381
609AS26,Assam State,SG,100,100,100,6.09,29-OCT-2021,,27-OCT-2026,,,,,IN1220210091
609KA28,Karnataka State,SG,100,100,100,6.09,27-JUL-2020,,22-JUL-2028,,,,,IN1920200095
609RJ26,Rajasthan State,SG,100,100,100,6.09,12-FEB-2021,,10-FEB-2026,,,,,IN2920200648
610GS2031,Government of India,GS,100,100,1,6.1,13-JUL-2021,,12-JUL-2031,,,,,IN0020210095
612KA27,Karnataka State,SG,100,100,100,6.12,27-JUL-2020,,22-JUL-2027,,,,,IN1920200087
